Address,Nametag,website,Public Note,chain id
0x929815fc4927c15a2fc5b69d60d90c29f9928552,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x0b435191f2f7df1ec232cc9de37a8fc950fcc8b5,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x81d7cf627ebd0533444ee5285b46c6a596162893,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xc358fc040777c7792704b0b4685400a5c7aee914,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x334517344b800b4553c3b8b5bd4705271d821923,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x6e9ea45cfd7060662bb0fe6e48be31511be347ea,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x763bd251bc21b56dd2fd51aa15d1a3eab02928c4,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x87a25176a0838cc284563f210c0d1a4d8771bb24,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x33a69e48faa706ab38a699735bd9b76d3168728d,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x8b2e367621afa9ece2bb7a0afb9e34f2328c9d1b,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x243ae809246a0b5a73921ec32f0b0dc160f9e057,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x59e47ba0a761ccb188b2705615168feb4c69e264,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x053c317a94dae7581e480ee00efea1e4b4211546,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xea7e56d0c75940099e8ab0a87ebb53099d55b481,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x92de75532e88321f6b2d5a5f7e083302d9499d18,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x7fed483c57294c53211a8a2b773288c136c2bbd3,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x603ee2d8fc5e19c8d1b3d2504b3a9eb4eef680f0,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xd33e07748e490fdb9341972e04514a8f195b78ea,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x4aef3e335cc0c4b38e6fb01ee65536d48525eaee,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x49cbb69b61a0d2154c9b90d9d9dcd95083838194,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xda5f65ea131831e36d10bcd47db09eab2c6fecec,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x17cf17676fbd70f14bdaae970ac54ff021847018,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xfa6faa1415ca51f568bf5efffc9341f8ee76dbca,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x8e46d8e938f6b25d28bd5a6d4f98e44c7eec4ffe,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x3990f4eb6d8cdafdc6e7bcdd361f2c49c448e295,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x9c52b17551f7f4fae144eb1ca862c1b60f061879,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xd3b4c3b564791f3a7c7c7a6607f64094ab203ba2,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x627f577d9afaaa1ed436c280efaa077f3aec2e37,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x6d033665ace4401b99d073c894896ad8e0e61277,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xadcff5e84c9fbf4bc21798233b9d82864c2201df,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xb067b2b529c2c59b727b024d34b8035857d1cacc,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xe3acdd9a389d6a322818e4eb8eba34e185a41af4,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xe76ac3050f3cf123c4cb6e998695f249e96af103,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xeb75c7fd99e4af91b3cb7b0e5912b026ddc012e9,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x1d9f49e0d74539507f8eb09a3a3041f0e8bdf471,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xf3f64be8726601e7697d367d789d684fbfd9a9fa,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xf01e86502310573fbd0e04c9ec70e092b5160e51,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x238a58e5dea7b476e30d668f6c170a0a13ac3210,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xef96dd9bd4b1a3e6d36281341d75780836535a58,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x36c35f96b2f96ee27fc14a9fca9964306bd1afc6,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x388f47aef4996b0a27aede4aeafe195e6bac0379,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x487f9ae99a7fc495ea9bac5b1e2fe08c7db34d21,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xef7a3ba36a9601218781726d27e39f949cc324b3,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xc9095edd180620dfaf3584b0cc8f4a0b8ff6f172,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x13fc28bf69c11b50529ba7650936779d0fa41825,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x59112dad7f097760268479316c5804268fd341d9,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xf70f9b123739ddd8d7905cafff85838c08a51be8,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xdcd472a6c359be5d3619105232fefa53f9688cd4,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x77fe54d468e853a432f8e7d965ae8b1ec61a06b8,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xd9c95ea40f2d5bdcb725f413f214769a5b688f9a,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
